Experiment,System,Region,SubjectID,Condition,Hemisphere,Effect_Size,Modality,Task
Experiment1,MD,LH_postParietal,329_FED_20151109a_3T1,S,L,-0.737492,visual,passive
Experiment1,MD,LH_postParietal,330_FED_20151111a_3T1,S,L,-0.752467,visual,passive
Experiment1,MD,LH_postParietal,331_FED_20151111c_3T1,S,L,0.590021,visual,passive
Experiment1,MD,LH_postParietal,332_FED_20151113a_3T1,S,L,-0.967077,visual,passive
Experiment1,MD,LH_postParietal,333_FED_20151119a_3T1,S,L,-0.365058,visual,passive
Experiment1,MD,LH_postParietal,334_FED_20151119a_3T2,S,L,0.098927,visual,passive
Experiment1,MD,LH_postParietal,335_FED_20151120a_3T1,S,L,-0.210046,visual,passive
Experiment1,MD,LH_postParietal,336_FED_20151212_3T1,S,L,-0.364891,visual,passive
Experiment1,MD,LH_postParietal,338_FED_20151215c_3T2,S,L,-0.514432,visual,passive
Experiment1,MD,LH_postParietal,338_FED_20160112a_3T2,S,L,-1.967595,visual,passive
Experiment1,MD,LH_postParietal,338_FED_20170113b_3T2,S,L,-0.164152,visual,passive
Experiment1,MD,LH_postParietal,338_FED_20170614b_3T2,S,L,0.401166,visual,passive
Experiment1,MD,LH_postParietal,339_FED_20151217a_3T2,S,L,-1.315105,visual,passive
Experiment1,MD,LH_postParietal,340_FED_20151217b_3T2,S,L,-0.401693,visual,passive
Experiment1,MD,LH_postParietal,341_FED_20151217c_3T2,S,L,-0.279459,visual,passive
Experiment1,MD,LH_postParietal,342_FED_20160105c_3T2,S,L,0.692757,visual,passive
Experiment1,MD,LH_postParietal,343_FED_20160107a_3T2,S,L,1.627632,visual,passive
Experiment1,MD,LH_postParietal,344_FED_20160107e_3T2,S,L,0.579943,visual,passive
Experiment1,MD,LH_postParietal,345_FED_20160112b_3T2,S,L,0.151327,visual,passive
Experiment1,MD,LH_postParietal,346_FED_20160112e_3T2,S,L,0.107738,visual,passive
Experiment1,MD,LH_postParietal,347_FED_20160114e_3T2,S,L,-0.103105,visual,passive
Experiment1,MD,LH_postParietal,348_FED_20160119c_3T2,S,L,-0.198449,visual,passive
Experiment1,MD,LH_postParietal,349_FED_20160119d_3T2,S,L,-0.063506,visual,passive
Experiment1,MD,LH_postParietal,350_FED_20160121c_3T2,S,L,-0.160325,visual,passive
Experiment1,MD,LH_postParietal,351_FED_20160126a_3T2,S,L,0.081752,visual,passive
Experiment1,MD,LH_postParietal,352_FED_20160126e_3T2,S,L,0.227869,visual,passive
Experiment1,MD,LH_postParietal,353_FED_20160127a_3T1,S,L,-1.108155,visual,passive
Experiment1,MD,LH_postParietal,354_FED_20160128d_3T2,S,L,-1.139758,visual,passive
Experiment1,MD,LH_postParietal,355_FED_20160128e_3T2,S,L,0.841234,visual,passive
Experiment1,MD,LH_postParietal,356_FED_20160202c_3T2,S,L,-0.611582,visual,passive
Experiment1,MD,LH_postParietal,357_FED_20160205m_3T2,S,L,-1.139167,visual,passive
Experiment1,MD,LH_postParietal,358_FED_20160208m_3T2,S,L,0.453248,visual,passive
Experiment1,MD,LH_postParietal,359_FED_20160209m_3T2,S,L,0.165864,visual,passive
Experiment1,MD,LH_postParietal,360_FED_20160211a_3T2,S,L,0.156249,visual,passive
Experiment1,MD,LH_postParietal,361_FED_20160211b_3T2,S,L,0.434189,visual,passive
Experiment1,MD,LH_postParietal,362_FED_20160212m_3T1,S,L,1.90509,visual,passive
Experiment1,MD,LH_postParietal,363_FED_20160222b_3T2,S,L,-0.473462,visual,passive
Experiment1,MD,LH_postParietal,364_FED_20160229a_3T1,S,L,-0.303793,visual,passive
Experiment1,MD,LH_postParietal,365_FED_20160229c_3T1,S,L,-0.414231,visual,passive
Experiment1,MD,LH_postParietal,365_FED_20170120a_3T2,S,L,-0.747095,visual,passive
Experiment1,MD,LH_postParietal,366_FED_20160229d_3T1,S,L,-0.814922,visual,passive
Experiment1,MD,LH_postParietal,366_FED_20161103a_3T1,S,L,-0.099237,visual,passive
Experiment1,MD,LH_postParietal,367_FED_20160309b_3T1,S,L,-0.206789,visual,passive
Experiment1,MD,LH_postParietal,368_FED_20160310b_3T1,S,L,0.045504,visual,passive
Experiment1,MD,LH_postParietal,369_FED_20160317b_3T1,S,L,0.986989,visual,passive
Experiment1,MD,LH_postParietal,370_FED_20160317c_3T1,S,L,-0.486241,visual,passive
Experiment1,MD,LH_postParietal,371_FED_20160318a_3T1,S,L,-0.03952,visual,passive
Experiment1,MD,LH_postParietal,373_FED_20160318c_3T1,S,L,0.168895,visual,passive
Experiment1,MD,LH_postParietal,375_FED_20160331d_3T1,S,L,-0.285514,visual,passive
Experiment1,MD,LH_postParietal,376_FED_20160401b_3T2,S,L,-0.435912,visual,passive
Experiment1,MD,LH_postParietal,378_FED_20160405a_3T1,S,L,0.231684,visual,passive
Experiment1,MD,LH_postParietal,379_FED_20160407a_3T1,S,L,-0.406448,visual,passive
Experiment1,MD,LH_postParietal,380_FED_20160407b_3T1,S,L,-0.320642,visual,passive
Experiment1,MD,LH_postParietal,382_FED_20160407a_3T2,S,L,-0.203887,visual,passive
Experiment1,MD,LH_postParietal,383_FED_20160505a_3T1,S,L,0.263474,visual,passive
Experiment1,MD,LH_postParietal,384_FED_20160421a_3T2,S,L,0.715459,visual,passive
Experiment1,MD,LH_postParietal,386_FED_20160425d_3T1,S,L,-1.16923,visual,passive
Experiment1,MD,LH_postParietal,387_FED_20160425a_3T1,S,L,-1.397272,visual,passive
Experiment1,MD,LH_postParietal,388_FED_20160426b_3T1,S,L,-1.292741,visual,passive
Experiment1,MD,LH_postParietal,390_FED_20160428a_3T1,S,L,-0.342829,visual,passive
Experiment1,MD,LH_postParietal,391_FED_20160429a_3T2,S,L,-0.048404,visual,passive
Experiment1,MD,LH_postParietal,392_FED_20160504a_3T1,S,L,-0.400294,visual,passive
Experiment1,MD,LH_postParietal,393_FED_20160504b_3T2,S,L,-0.232124,visual,passive
Experiment1,MD,LH_postParietal,395_FED_20160506a_3T2,S,L,-0.918241,visual,passive
Experiment1,MD,LH_postParietal,397_FED_20160516a_3T1,S,L,-0.912781,visual,passive
Experiment1,MD,LH_postParietal,398_FED_20160516b_3T1,S,L,-0.849518,visual,passive
Experiment1,MD,LH_postParietal,399_FED_20160519d_3T1,S,L,-0.269025,visual,passive
Experiment1,MD,LH_postParietal,400_FED_20160520a_3T1,S,L,-1.493729,visual,passive
Experiment1,MD,LH_postParietal,401_FED_20160520d_3T1,S,L,0.207976,visual,passive
Experiment1,MD,LH_postParietal,402_FED_20160526c_3T1,S,L,-0.528529,visual,passive
Experiment1,MD,LH_postParietal,403_FED_20160526b_3T1,S,L,0.015507,visual,passive
Experiment1,MD,LH_postParietal,405_FED_20160531a_3T1,S,L,-0.409463,visual,passive
Experiment1,MD,LH_postParietal,406_FED_20160601a_3T1,S,L,0.259556,visual,passive
Experiment1,MD,LH_postParietal,407_FED_20160616a_3T2,S,L,-0.162341,visual,passive
Experiment1,MD,LH_postParietal,408_FED_20160617a_3T2,S,L,-0.547951,visual,passive
Experiment1,MD,LH_postParietal,409_FED_20160622a_3T1,S,L,-0.055026,visual,passive
Experiment1,MD,LH_postParietal,409_FED_20160728a_3T2,S,L,0.099074,visual,passive
Experiment1,MD,LH_postParietal,410_FED_20160623b_3T2,S,L,-0.04258,visual,passive
Experiment1,MD,LH_postParietal,411_FED_20160624a_3T2,S,L,-1.000403,visual,passive
Experiment1,MD,LH_postParietal,412_FED_20160707a_3T1,S,L,0.608035,visual,passive
Experiment1,MD,LH_postParietal,413_FED_20160707c_3T1,S,L,-1.336203,visual,passive
Experiment1,MD,LH_postParietal,414_FED_20160711b_3T1,S,L,0.280691,visual,passive
Experiment1,MD,LH_postParietal,415_FED_20160714a_3T2,S,L,-0.073411,visual,passive
Experiment1,MD,LH_postParietal,416_FED_20160802a_3T1,S,L,-0.562775,visual,passive
Experiment1,MD,LH_postParietal,417_FED_20160803b_3T1,S,L,0.506126,visual,passive
Experiment1,MD,LH_postParietal,418_FED_20160803a_3T2,S,L,-0.158548,visual,passive
Experiment1,MD,LH_postParietal,419_FED_20160805a_3T1,S,L,0.76512,visual,passive
Experiment1,MD,LH_postParietal,420_FED_20160805b_3T1,S,L,0.165872,visual,passive
Experiment1,MD,LH_postParietal,422_FED_20160816a_3T1,S,L,-0.152123,visual,passive
Experiment1,MD,LH_postParietal,423_FED_20160817c_3T1,S,L,0.311065,visual,passive
Experiment1,MD,LH_postParietal,424_FED_20160817a_3T1,S,L,-0.017144,visual,passive
Experiment1,MD,LH_postParietal,425_FED_20160818b_3T1,S,L,0.113966,visual,passive
Experiment1,MD,LH_postParietal,426_FED_20160823a_3T1,S,L,-0.446484,visual,passive
Experiment1,MD,LH_postParietal,426_FED_20160908d_3T1,S,L,-0.652869,visual,passive
Experiment1,MD,LH_postParietal,427_FED_20160823c_3T1,S,L,0.986086,visual,passive
Experiment1,MD,LH_postParietal,428_FED_20160906a_3T2,S,L,-0.557697,visual,passive
Experiment1,MD,LH_postParietal,429_FED_20160906b_3T2,S,L,-0.50724,visual,passive
Experiment1,MD,LH_postParietal,430_FED_20160906d_3T2,S,L,-0.882127,visual,passive
Experiment1,MD,LH_postParietal,430_FED_20170110b_3T2,S,L,-0.329837,visual,passive
